time,iteration,loss,test accuracy,test end,train accuracy,train end
174m 44s (- -175m 15s),258000,1.7228844680216728,70.7,94.19999999999999,72.6,94.39999999999999
175m 21s (- -176m 38s),259000,1.7504915827413925,70.89999999999999,94.0,74.3,93.5
176m 6s (- -177m 53s),260000,1.6352397903387172,68.8,94.8,70.89999999999999,94.6
176m 36s (- -177m 24s),261000,1.7823159529977424,70.89999999999999,96.1,72.5,96.0
177m 23s (- -178m 37s),262000,1.6822415642208464,69.69999999999999,94.0,71.89999999999999,94.1
178m 0s (- -179m 59s),263000,1.7752760730515282,72.8,95.39999999999999,75.9,95.39999999999999
178m 42s (- -179m 17s),264000,1.7725402309737384,69.3,90.3,74.0,89.7
179m 20s (- -180m 39s),265000,1.691432885554379,70.6,96.7,75.0,96.39999999999999
180m 4s (- -181m 55s),266000,1.721442800803332,68.60000000000001,93.89999999999999,73.3,92.30000000000001
180m 39s (- -181m 20s),267000,1.6872284667887343,65.5,95.39999999999999,68.89999999999999,95.8
181m 21s (- -182m 38s),268000,1.6971656877644792,67.9,94.0,70.8,93.2
182m 8s (- -183m 52s),269000,1.8486472451347702,71.1,94.0,74.7,94.89999999999999
182m 40s (- -183m 19s),270000,1.7165674933828254,71.39999999999999,95.19999999999999,76.4,95.5
183m 22s (- -184m 37s),271000,1.7856216215813006,70.0,95.3,74.4,95.39999999999999
184m 4s (- -185m 55s),272000,1.7143088415842662,71.1,90.7,73.9,91.4
184m 48s (- -185m 11s),273000,1.6572304656258612,71.2,94.19999999999999,75.9,95.19999999999999
185m 23s (- -186m 36s),274000,1.7019150075710359,68.5,95.8,72.8,96.1
186m 12s (- -187m 47s),275000,1.6988330261393212,68.10000000000001,94.39999999999999,74.2,94.5
186m 47s (- -187m 12s),276000,1.7833083526383897,71.8,92.4,74.7,93.0
187m 29s (- -188m 30s),277000,1.7614001565763575,71.1,96.5,77.4,96.1
188m 16s (- -189m 43s),278000,1.7687750514728677,68.89999999999999,95.7,73.8,96.39999999999999
188m 52s (- -189m 7s),279000,1.7551644744153305,71.1,94.89999999999999,73.4,95.39999999999999
189m 31s (- -190m 28s),280000,1.7204316535558588,68.4,96.1,74.2,96.39999999999999
190m 13s (- -191m 46s),281000,1.7332914039128664,71.89999999999999,93.8,74.5,95.0
191m 0s (- -191m 0s),282000,1.6735270978780408,72.2,95.6,75.0,94.5
191m 30s (- -192m 29s),283000,1.7520085661905442,71.5,94.6,73.8,93.8
192m 18s (- -193m 41s),284000,1.7131135862578981,71.5,94.3,73.3,94.89999999999999
192m 53s (- -193m 6s),285000,1.7149913063382525,69.19999999999999,94.89999999999999,73.7,94.6
193m 36s (- -194m 24s),286000,1.7310264103909332,72.3,94.3,75.9,93.5
194m 14s (- -195m 45s),287000,1.7858985196297392,70.39999999999999,94.3,72.8,93.89999999999999
195m 1s (- -196m 58s),288000,1.7594235322727647,71.2,91.4,72.89999999999999,91.0
195m 29s (- -196m 30s),289000,1.73644603968985,73.1,95.1,75.8,95.6
196m 16s (- -197m 43s),290000,1.7306891252542005,73.5,95.0,74.2,93.89999999999999
196m 57s (- -197m 2s),291000,1.7567601920997389,70.19999999999999,94.39999999999999,74.0,94.39999999999999
197m 36s (- -198m 23s),292000,1.8202506218619152,70.7,94.0,75.3,94.0
198m 19s (- -199m 40s),293000,1.7180738342762967,69.89999999999999,94.3,73.1,93.8
199m 1s (- -200m 58s),294000,1.8060356174767704,70.6,93.89999999999999,73.5,93.4
199m 44s (- -200m 15s),295000,1.684517557419735,70.6,95.89999999999999,72.5,94.69999999999999
200m 21s (- -201m 38s),296000,1.7970347770557913,71.8,92.80000000000001,74.3,93.10000000000001
201m 11s (- -202m 48s),297000,1.6811809289712432,73.3,92.9,73.6,92.2
201m 42s (- -202m 17s),298000,1.7238169133696586,74.7,95.7,76.7,95.0
202m 28s (- -203m 31s),299000,1.797455903767655,71.0,95.3,73.1,94.5
203m 7s (- -204m 52s),300000,1.7222656478657388,71.1,93.89999999999999,74.2,93.4
